key,value,date
AMZN,947.62,05/11/17
AMZN,961.35,05/12/17
AMZN,957.97,05/15/17
AMZN,966.07,05/16/17
AMZN,944.76,05/17/17
AMZN,958.49,05/18/17
AMZN,959.84,05/19/17
AMZN,970.67,05/22/17
AMZN,971.54,05/23/17
AMZN,980.35,05/24/17
AMZN,993.38,05/25/17
AMZN,995.78,05/26/17
AMZN,996.70,05/30/17
AMZN,994.62,05/31/17
AMZN,995.95,06/01/17
AMZN,1006.73,06/02/17
AMZN,1011.34,06/05/17
AMZN,1003.00,06/06/17
AMZN,1010.07,06/07/17
AMZN,1010.27,06/08/17
AMZN,978.31,06/09/17
AMZN,964.91,06/12/17
AMZN,980.79,06/13/17
AMZN,976.47,06/14/17
AMZN,964.17,06/15/17
AMZN,987.71,06/16/17
AMZN,995.17,06/19/17
AMZN,992.59,06/20/17
AMZN,1002.23,06/21/17
AMZN,1001.30,06/22/17
AMZN,1003.74,06/23/17
AMZN,993.98,06/26/17
AMZN,976.78,06/27/17
AMZN,990.33,06/28/17
AMZN,975.93,06/29/17
AMZN,968.00,06/30/17
AMZN,953.66,07/03/17
AMZN,971.40,07/05/17
AMZN,965.14,07/06/17
AMZN,978.76,07/07/17
AMZN,996.47,07/10/17
AMZN,994.13,07/11/17
AMZN,1006.51,07/12/17
AMZN,1000.63,07/13/17
AMZN,1001.81,07/14/17
AMZN,1010.04,07/17/17
AMZN,1024.45,07/18/17
AMZN,1026.87,07/19/17
AMZN,1028.70,07/20/17
AMZN,1025.67,07/21/17
AMZN,1038.95,07/24/17
AMZN,1039.87,07/25/17
AMZN,1052.80,07/26/17
AMZN,1046.00,07/27/17
AMZN,1020.04,07/28/17
AMZN,987.78,07/31/17
AMZN,996.19,08/01/17
AMZN,995.89,08/02/17
AMZN,986.92,08/03/17
AMZN,987.58,08/04/17
AMZN,992.27,08/07/17
AMZN,989.84,08/08/17
AMZN,982.01,08/09/17
AMZN,956.92,08/10/17
AMZN,967.99,08/11/17
AMZN,983.30,08/14/17
AMZN,982.74,08/15/17
AMZN,978.18,08/16/17
AMZN,960.57,08/17/17
AMZN,958.47,08/18/17
AMZN,953.29,08/21/17
AMZN,966.90,08/22/17
AMZN,958.00,08/23/17
AMZN,952.45,08/24/17
AMZN,945.26,08/25/17
AMZN,946.02,08/28/17
AMZN,954.06,08/29/17
AMZN,967.59,08/30/17
AMZN,980.60,08/31/17
AMZN,978.25,09/01/17
AMZN,965.27,09/05/17
AMZN,967.80,09/06/17
AMZN,979.47,09/07/17
AMZN,965.90,09/08/17
AMZN,977.96,09/11/17
AMZN,982.58,09/12/17
AMZN,999.60,09/13/17
GOOG,762.49,09/14/16
GOOG,771.76,09/15/16
GOOG,768.88,09/16/16
GOOG,765.70,09/19/16
GOOG,771.41,09/20/16
GOOG,776.22,09/21/16
GOOG,787.21,09/22/16
GOOG,786.90,09/23/16
GOOG,774.21,09/26/16
GOOG,783.01,09/27/16
GOOG,781.56,09/28/16
GOOG,775.01,09/29/16
GOOG,777.29,09/30/16
GOOG,772.56,10/03/16
GOOG,776.43,10/04/16
GOOG,776.47,10/05/16
GOOG,776.86,10/06/16
GOOG,775.08,10/07/16
GOOG,785.94,10/10/16
GOOG,783.07,10/11/16
GOOG,786.14,10/12/16
GOOG,778.19,10/13/16
GOOG,778.53,10/14/16
GOOG,779.96,10/17/16
GOOG,795.26,10/18/16
GOOG,801.50,10/19/16
GOOG,796.97,10/20/16
GOOG,799.37,10/21/16
GOOG,813.11,10/24/16
GOOG,807.67,10/25/16
GOOG,799.07,10/26/16
GOOG,795.35,10/27/16
GOOG,795.37,10/28/16
GOOG,784.54,10/31/16
GOOG,783.61,11/01/16
GOOG,768.70,11/02/16
GOOG,762.13,11/03/16
GOOG,762.02,11/04/16
GOOG,782.52,11/07/16
